rank,track,artist
1,Bad Day,Daniel Powter
2,Temperature,Sean Paul
3,Promiscuous,Nelly Furtado Featuring Timbaland
4,You're Beautiful,James Blunt
5,Hips Don't Lie,Shakira Featuring Wyclef Jean
6,Unwritten,Natasha Bedingfield
7,Crazy,Gnarls Barkley
8,Ridin',Chamillionaire Featuring Krayzie Bone
9,SexyBack,Justin Timberlake
10,Check On It,Beyonce Featuring Slim Thug
11,Be Without You,Mary J. Blige
12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
13,Over My Head (Cable Car),The Fray
14,Me & U,Cassie
15,Buttons,The Pussycat Dolls Featuring Snoop Dogg
16,Run It!,Chris Brown
17,So Sick,Ne-Yo
18,It's Goin' Down,Yung Joc
19,SOS,Rihanna
20,I Write Sins Not Tragedies,Panic! At The Disco
21,Move Along,The All-American Rejects
22,London Bridge,Fergie
23,Dani California,Red Hot Chili Peppers
24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
26,What Hurts The Most,Rascal Flatts
27,How To Save A Life,The Fray
28,Unfaithful,Rihanna
29,Chasing Cars,Snow Patrol
30,Lips Of An Angel,Hinder
31,Everytime We Touch,Cascada
32,Ain't No Other Man,Christina Aguilera
33,"Dance, Dance",Fall Out Boy
34,Gold Digger,Kanye West Featuring Jamie Foxx
35,Money Maker,Ludacris Featuring Pharrell
36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole
38,Photograph,Nickelback
39,Because Of You,Kelly Clarkson
40,Stickwitu,The Pussycat Dolls
41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones
42,My Humps,The Black Eyed Peas
43,Where'd You Go,Fort Minor Featuring Holly Brook
44,Yo (Excuse Me Miss),Chris Brown
45,Walk Away,Kelly Clarkson
46,Laffy Taffy,D4L
47,What You Know,T.I.
48,Dirty Little Secret,The All-American Rejects
49,Savin' Me,Nickelback
50,Don't Forget About Us,Mariah Carey
51,Sexy Love,Ne-Yo
52,U And Dat,E-40 Featuring T-Pain & Kandi Girl
53,Far Away,Nickelback
54,What's Left Of Me,Nick Lachey
55,So What,Field Mob Featuring Ciara
56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
57,Black Horse & The Cherry Tree,KT Tunstall
58,There It Go! (The Whistle Song),Juelz Santana
59,Shoulder Lean,Young Dro Featuring T.I.
60,Unpredictable,Jamie Foxx Featuring Ludacris
61,My Love,Justin Timberlake Featuring T.I.
62,Shake That,Eminem Featuring Nate Dogg
63,Pullin' Me Back,Chingy Featuring Tyrese
64,Bossy,Kelis Featuring Too $hort
65,Chain Hang Low,Jibbs
66,Smack That,Akon Featuring Eminem
67,One Wish,Ray J
68,"Sugar, We're Goin' Down",Fall Out Boy
69,Gimme That,Chris Brown Featuring Lil Wayne
70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick
71,Who Says You Can't Go Home,Bon Jovi
72,Too Little Too Late,JoJo
73,Touch It,Busta Rhymes
74,Rompe,Daddy Yankee
75,Deja Vu,Beyonce Featuring Jay Z
76,Life Is A Highway,Rascal Flatts
77,Call Me When You're Sober,Evanescence
78,"Jesus, Take The Wheel",Carrie Underwood
79,Show Stopper,Danity Kane
80,Get Up,Ciara Featuring Chamillionaire
81,We Be Burnin',Sean Paul
82,Hate Me,Blue October
83,You And Me,Lifehouse
84,Beep,The Pussycat Dolls Featuring will.i.am
85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
86,Say Goodbye,Chris Brown
87,Waiting On The World To Change,John Mayer
88,Soul Survivor,Young Jeezy Featuring Akon
89,Pump It,The Black Eyed Peas
90,When I'm Gone,Eminem
91,Hung Up,Madonna
92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG
93,Love,Keyshia Cole
94,When You're Mad,Ne-Yo
95,Why You Wanna,T.I.
96,Stupid Girls,P!nk
97,Feel Good Inc,Gorillaz
98,I'm Sprung,T-Pain
99,Do I Make You Proud,Taylor Hicks
100,For You I Will (Confidence),Teddy Geiger
1,Irreplaceable,Beyonce
2,Umbrella,Rihanna Featuring Jay-Z
3,The Sweet Escape,Gwen Stefani Featuring Akon
4,Big Girls Don't Cry,Fergie
5,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
6,Before He Cheats,Carrie Underwood
7,Hey There Delilah,Plain White T's
8,I Wanna Love You,Akon Featuring Snoop Dogg
9,Say It Right,Nelly Furtado
10,Glamorous,Fergie Featuring Ludacris
11,Don't Matter,Akon
12,Girlfriend,Avril Lavigne
13,Makes Me Wonder,Maroon 5
14,Party Like A Rockstar,Shop Boyz
15,Smack That,Akon Featuring Eminem
16,This Is Why I'm Hot,Mims
17,It's Not Over,Daughtry
18,The Way I Are,Timbaland Featuring Keri Hilson
19,Fergalicious,Fergie
20,Crank That (Soulja Boy),Soulja Boy Tell'em
21,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake
22,What Goes Around...Comes Around,Justin Timberlake
23,Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump
24,How To Save A Life,The Fray
25,Home,Daughtry
26,My Love,Justin Timberlake Featuring T.I.
27,Stronger,Kanye West
28,We Fly High,Jim Jones
29,U + Ur Hand,P!nk
30,Walk It Out,Unk
31,Beautiful Girls,Sean Kingston
32,"This Ain't A Scene, It's An Arms Race",Fall Out Boy
33,Bartender,T-Pain Featuring Akon
34,"Pop, Lock & Drop It",Huey
35,Runaway Love,Ludacris Featuring Mary J. Blige
36,Rockstar,Nickelback
37,Thnks Fr Th Mmrs,Fall Out Boy
38,What I've Done,Linkin Park
39,Summer Love,Justin Timberlake
40,You,Lloyd Featuring Lil Wayne
41,Wait For You,Elliott Yamin
42,Last Night,Diddy Featuring Keyshia Cole
43,Make It Rain,Fat Joe Featuring Lil Wayne
44,Make Me Better,Fabolous Featuring Ne-Yo
45,Ice Box,Omarion
46,Lips Of An Angel,Hinder
47,Waiting On The World To Change,John Mayer
48,Lost Without U,Robin Thicke
49,I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain)
50,If Everyone Cared,Nickelback
51,Get It Shawty,Lloyd
52,Face Down,The Red Jumpsuit Apparatus
53,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie
54,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin
55,It Ends Tonight,The All-American Rejects
56,A Bay Bay,Hurricane Chris
57,Because Of You,Ne-Yo
58,I Tried,Bone Thugs-N-Harmony Featuring Akon
59,Welcome To The Black Parade,My Chemical Romance
60,Shawty,Plies Featuring T-Pain
61,Chasing Cars,Snow Patrol
62,Beautiful Liar,Beyonce & Shakira
63,SexyBack,Justin Timberlake
64,Keep Holding On,Avril Lavigne
65,Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim
66,Apologize,Timbaland Featuring OneRepublic
67,Bubbly,Colbie Caillat
68,Like A Boy,Ciara
69,Who Knew,P!nk
70,Never Again,Kelly Clarkson
71,Promise,Ciara
72,Bed,J. Holiday
73,Throw Some D's,Rich Boy Featuring Polow Da Don
74,Rehab,Amy Winehouse
75,Big Things Poppin' (Do It),T.I.
76,No One,Alicia Keys
77,The Great Escape,Boys Like Girls
78,2 Step,Unk
79,Walk Away (Remember Me),Paula DeAnda Featuring The DEY
80,Go Getta,Young Jeezy Featuring R. Kelly
81,Here (In Your Arms),Hellogoodbye
82,On The Hotline,Pretty Ricky
83,Wind It Up,Gwen Stefani
84,Cyclone,Baby Bash Featuring T-Pain
85,Break It Off,Rihanna & Sean Paul
86,First Time,Lifehouse
87,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland
88,Outta My System,Bow Wow Featuring T-Pain & Johnta Austin
89,Teardrops On My Guitar,Taylor Swift
90,Shut Up And Drive,Rihanna
91,Snow ((Hey Oh)),Red Hot Chili Peppers
92,Money Maker,Ludacris Featuring Pharrell
93,Kiss Kiss,Chris Brown Featuring T-Pain
94,Far Away,Nickelback
95,Rock Yo Hips,Crime Mob Featuring Lil Scrappy
96,LoveStoned,Justin Timberlake
97,Better Than Me,Hinder
98,Paralyzer,Finger Eleven
99,That's That,Snoop Dogg Featuring R. Kelly
100,Same Girl,R. Kelly Duet With Usher
1,Low,Flo Rida Featuring T-Pain
2,Bleeding Love,Leona Lewis
3,No One,Alicia Keys
4,Lollipop,Lil Wayne Featuring Static Major
5,Apologize,Timbaland Featuring OneRepublic
6,No Air,Jordin Sparks Duet With Chris Brown
7,Love Song,Sara Bareilles
8,Love In This Club,Usher Featuring Young Jeezy
9,With You,Chris Brown
10,Forever,Chris Brown
11,Sexy Can I,Ray J & Yung Berg
12,Take A Bow,Rihanna
13,Viva La Vida,Coldplay
14,I Kissed A Girl,Katy Perry
15,Whatever You Like,T.I.
16,Disturbia,Rihanna
17,Don't Stop The Music,Rihanna
18,Pocketful Of Sunshine,Natasha Bedingfield
19,Kiss Kiss,Chris Brown Featuring T-Pain
20,Closer,Ne-Yo
21,Bubbly,Colbie Caillat
22,Touch My Body,Mariah Carey
23,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland
24,So What,P!nk
25,Paralyzer,Finger Eleven
26,Clumsy,Fergie
27,I'm Yours,Jason Mraz
28,Leavin',Jesse McCartney
29,Dangerous,Kardinal Offishall Featuring Akon
30,Tattoo,Jordin Sparks
31,See You Again,Miley Cyrus
32,Shake It,Metro Station
33,Stop And Stare,OneRepublic
34,Take You There,Sean Kingston
35,Paper Planes,M.I.A.
36,Hot N Cold,Katy Perry
37,Live Your Life,T.I. Featuring Rihanna
38,Bust It Baby Part 2,Plies Featuring Ne-Yo
39,American Boy,Estelle Featuring Kanye West
40,Got Money,Lil Wayne Featuring T-Pain
41,Our Song,Taylor Swift
42,Damaged,Danity Kane
43,A Milli,Lil Wayne
44,Sorry,Buckcherry
45,Independent,Webbie Featuring Lil' Phat & Lil' Boosie
46,Can't Believe It,T-Pain Featuring Lil Wayne
47,Like You'll Never See Me Again,Alicia Keys
48,Teardrops On My Guitar,Taylor Swift
49,When I Grow Up,The Pussycat Dolls
50,Sensual Seduction,Snoop Dogg
51,What You Got,Colby O'Donis Featuring Akon
52,It's Not My Time,3 Doors Down
53,Better In Time,Leona Lewis
54,Crank That (Soulja Boy),Soulja Boy Tell'em
55,Shadow Of The Day,Linkin Park
56,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia"
57,Miss Independent,Ne-Yo
58,Fall For You,Secondhand Serenade
59,In The Ayer,Flo Rida Featuring will.i.am
60,Say,John Mayer
61,One Step At A Time,Jordin Sparks
62,Hate That I Love You,Rihanna Featuring Ne-Yo
63,Superstar,Lupe Fiasco Featuring Matthew Santos
64,Suffocate,J. Holiday
65,Let It Rock,Kevin Rudolf Featuring Lil Wayne
66,Get Like Me,David Banner Featuring Chris Brown
67,Realize,Colbie Caillat
68,Put On,Young Jeezy Featuring Kanye West
69,The Time Of My Life,David Cook
70,Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower"
71,Cyclone,Baby Bash Featuring T-Pain
72,Love Like This,Natasha Bedingfield Featuring Sean Kingston
73,Burnin' Up,Jonas Brothers
74,Love Lockdown,Kanye West
75,I Luv Your Girl,The-Dream
76,Crush,David Archuleta
77,Hypnotized,Plies Featuring Akon
78,Big Girls Don't Cry,Fergie
79,Good Life,Kanye West Featuring T-Pain
80,Womanizer,Britney Spears
81,Love Story,Taylor Swift
82,Just Fine,Mary J. Blige
83,Piece Of Me,Britney Spears
84,The Boss,Rick Ross Featuring T-Pain
85,All Summer Long,Kid Rock
86,Can't Help But Wait,Trey Songz
87,In Love With A Girl,Gavin DeGraw
88,My Life,The Game Featuring Lil Wayne
89,I Remember,Keyshia Cole
90,Flashing Lights,Kanye West Featuring Dwele
91,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd
92,7 Things,Miley Cyrus
93,You're Gonna Miss This,Trace Adkins
94,Love Remains The Same,Gavin Rossdale
95,Feels Like Tonight,Daughtry
96,The Way I Are,Timbaland Featuring Keri Hilson
97,Addicted,Saving Abel
98,Into The Night,Santana Featuring Chad Kroeger
99,Heaven Sent,Keyshia Cole
100,She Got It,2 Pistols Featuring T-Pain & Tay Dizm
1,Boom Boom Pow,The Black Eyed Peas
2,Poker Face,Lady Gaga
3,Just Dance,Lady Gaga Featuring Colby O'Donis
4,I Gotta Feeling,The Black Eyed Peas
5,Love Story,Taylor Swift
6,Right Round,Flo Rida
7,I'm Yours,Jason Mraz
8,Single Ladies (Put A Ring On It),Beyonce
9,Heartless,Kanye West
10,Gives You Hell,The All-American Rejects
11,You Belong With Me,Taylor Swift
12,Dead And Gone,T.I. Featuring Justin Timberlake
13,You Found Me,The Fray
14,Use Somebody,Kings Of Leon
15,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
16,Blame It,Jamie Foxx Featuring T-Pain
17,I Know You Want Me (Calle Ocho),Pitbull
18,Live Your Life,T.I. Featuring Rihanna
19,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie
20,Down,Jay Sean Featuring Lil Wayne
21,The Climb,Miley Cyrus
22,Best I Ever Had,Drake
23,My Life Would Suck Without You,Kelly Clarkson
24,Halo,Beyonce
25,Hot N Cold,Katy Perry
26,Second Chance,Shinedown
27,Circus,Britney Spears
28,Day 'N' Nite,Kid Cudi
29,Party In The U.S.A.,Miley Cyrus
30,Don't Trust Me,3OH!3
31,Run This Town,"Jay-Z, Rihanna & Kanye West"
32,Let It Rock,Kevin Rudolf Featuring Lil Wayne
33,Fire Burning,Sean Kingston
34,Whatcha Say,Jason Derulo
35,LoveGame,Lady Gaga
36,Waking Up In Vegas,Katy Perry
37,Birthday Sex,Jeremih
38,Sober,P!nk
39,Womanizer,Britney Spears
40,Whatever You Like,T.I.
41,Obsessed,Mariah Carey
42,Mad,Ne-Yo
43,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester
44,Love Lockdown,Kanye West
45,So What,P!nk
46,Hotel Room Service,Pitbull
47,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent"
48,If I Were A Boy,Beyonce
49,Turnin Me On,Keri Hilson Featuring Lil Wayne
50,I Hate This Part,The Pussycat Dolls
51,Gotta Be Somebody,Nickelback
52,Please Don't Leave Me,P!nk
53,Paparazzi,Lady Gaga
54,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall
55,Viva La Vida,Coldplay
56,Right Now (Na Na Na),Akon
57,Battlefield,Jordin Sparks
58,Sugar,Flo Rida Featuring Wynter
59,Miss Independent,Ne-Yo
60,Fireflies,Owl City
61,New Divide,Linkin Park
62,Empire State Of Mind,Jay-Z + Alicia Keys
63,No Surprise,Daughtry
64,She Wolf,Shakira
65,Break Up,Mario Featuring Gucci Mane & Sean Garrett
66,Sweet Dreams,Beyonce
67,Every Girl,Young Money
68,Fallin' For You,Colbie Caillat
69,Untouched,The Veronicas
70,If Today Was Your Last Day,Nickelback
71,Throw It In The Bag,Fabolous Featuring The-Dream
72,Love Drunk,Boys Like Girls
73,I Love College,Asher Roth
74,If U Seek Amy,Britney Spears
75,Big Green Tractor,Jason Aldean
76,White Horse,Taylor Swift
77,Disturbia,Rihanna
78,21 Guns,Green Day
79,Turn My Swag On,Soulja Boy Tell'em
80,Rockin' That Thang,The-Dream
81,Chicken Fried,Zac Brown Band
82,Diva,Beyonce
83,Replay,Iyaz
84,Then,Brad Paisley
85,Her Diamonds,Rob Thomas
86,How Do You Sleep?,Jesse McCartney Featuring Ludacris
87,3,Britney Spears
88,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
89,One Time,Justin Bieber
90,I Run To You,Lady Antebellum
91,I Do Not Hook Up,Kelly Clarkson
92,Green Light,John Legend Featuring Andre 3000
93,People Are Crazy,Billy Currington
94,Whatever It Is,Zac Brown Band
95,Already Gone,Kelly Clarkson
96,Goodbye,Kristinia DeBarge
97,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson
98,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana
99,Pretty Wings,Maxwell
100,Never Say Never,The Fray
1,TiK ToK,Ke$ha
2,Need You Now,Lady Antebellum
3,"Hey, Soul Sister",Train
4,California Gurls,Katy Perry Featuring Snoop Dogg
5,OMG,Usher Featuring will.i.am
6,Airplanes,B.o.B Featuring Hayley Williams
7,Love The Way You Lie,Eminem Featuring Rihanna
8,Bad Romance,Lady Gaga
9,Dynamite,Taio Cruz
10,Break Your Heart,Taio Cruz Featuring Ludacris
11,Nothin' On You,B.o.B Featuring Bruno Mars
12,I Like It,Enrique Iglesias Featuring Pitbull
13,BedRock,Young Money Featuring Lloyd
14,In My Head,Jason Derulo
15,Rude Boy,Rihanna
16,Telephone,Lady Gaga Featuring Beyonce
17,Teenage Dream,Katy Perry
18,Just The Way You Are,Bruno Mars
19,Cooler Than Me,Mike Posner
20,Imma Be,The Black Eyed Peas
21,Empire State Of Mind,Jay-Z + Alicia Keys
22,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
23,Billionaire,Travie McCoy Featuring Bruno Mars
24,Not Afraid,Eminem
25,Replay,Iyaz
26,Sexy Chick,David Guetta Featuring Akon
27,Breakeven,The Script
28,Your Love Is My Drug,Ke$ha
29,I Gotta Feeling,The Black Eyed Peas
30,Fireflies,Owl City
31,Say Aah,Trey Songz Featuring Fabolous
32,Find Your Love,Drake
33,Alejandro,Lady Gaga
34,Ridin' Solo,Jason Derulo
35,Just A Dream,Nelly
36,How Low,Ludacris
37,Like A G6,Far*East Movement Featuring Cataracs & Dev
38,Carry Out,Timbaland Featuring Justin Timberlake
39,Haven't Met You Yet,Michael Buble
40,Club Can't Handle Me,Flo Rida Featuring David Guetta
41,Down,Jay Sean Featuring Lil Wayne
42,Bulletproof,La Roux
43,Whatcha Say,Jason Derulo
44,Baby,Justin Bieber Featuring Ludacris
45,Whataya Want From Me,Adam Lambert
46,Mine,Taylor Swift
47,Only Girl (In The World),Rihanna
48,Live Like We're Dying,Kris Allen
49,Hard,Rihanna Featuring Jeezy
50,Young Forever,Jay-Z + Mr. Hudson
51,Blah Blah Blah,Ke$ha Featuring 3OH!3
52,Bottoms Up,Trey Songz Featuring Nicki Minaj
53,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon
54,All The Right Moves,OneRepublic
55,According To You,Orianthi
56,My Chick Bad,Ludacris Featuring Nicki Minaj
57,You Belong With Me,Taylor Swift
58,Meet Me Halfway,The Black Eyed Peas
59,Take It Off,Ke$ha
60,Over,Drake
61,Animal,Neon Trees
62,Misery,Maroon 5
63,Magic,B.o.B Featuring Rivers Cuomo
64,Paparazzi,Lady Gaga
65,Tie Me Down,New Boyz Featuring Ray J
66,Your Love,Nicki Minaj
67,Party In The U.S.A.,Miley Cyrus
68,Deuces,Chris Brown Featuring Tyga & Kevin McCall
69,3,Britney Spears
70,Impossible,Shontelle
71,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
72,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift
73,My First Kiss,3OH!3 Featuring Ke$ha
74,Already Gone,Kelly Clarkson
75,Rock That Body,The Black Eyed Peas
76,Secrets,OneRepublic
77,Naturally,Selena Gomez & The Scene
78,Un-Thinkable (I'm Ready),Alicia Keys
79,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross"
80,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne"
81,Stuck Like Glue,Sugarland
82,Hey Daddy (Daddy's Home),Usher Featuring Plies
83,There Goes My Baby,Usher
84,Today Was A Fairytale,Taylor Swift
85,Say Something,Timbaland Featuring Drake
86,Sweet Dreams,Beyonce
87,Use Somebody,Kings Of Leon
88,Undo It,Carrie Underwood
89,Eenie Meenie,Sean Kingston & Justin Bieber
90,Right Above It,Lil Wayne Featuring Drake
91,The House That Built Me,Miranda Lambert
92,If I Die Young,The Band Perry
93,The Only Exception,Paramore
94,American Honey,Lady Antebellum
95,King Of Anything,Sara Bareilles
96,Life After You,Daughtry
97,Smile,Uncle Kracker
98,Teach Me How To Dougie,Cali Swag District
99,Try Sleeping With A Broken Heart,Alicia Keys
100,"Lover, Lover",Jerrod Niemann
1,Rolling In The Deep,Adele
2,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
3,Firework,Katy Perry
4,E.T.,Katy Perry Featuring Kanye West
5,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
6,Grenade,Bruno Mars
8,Super Bass,Nicki Minaj
9,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
10,Just Can't Get Enough,The Black Eyed Peas
11,On The Floor,Jennifer Lopez Featuring Pitbull
12,S&M,Rihanna
13,Pumped Up Kicks,Foster The People
14,Last Friday Night (T.G.I.F.),Katy Perry
15,Just The Way You Are,Bruno Mars
16,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
17,Raise Your Glass,P!nk
18,Born This Way,Lady Gaga
19,F**kin' Perfect,P!nk
20,What's My Name?,Rihanna Featuring Drake
21,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
22,Down On Me,Jeremih Featuring 50 Cent
23,How To Love,Lil Wayne
24,Someone Like You,Adele
25,The Good Life,OneRepublic
26,The Lazy Song,Bruno Mars
27,Till The World Ends,Britney Spears
28,The Show Goes On,Lupe Fiasco
29,The Edge Of Glory,Lady Gaga
30,We R Who We R,Ke$ha
31,Black And Yellow,Wiz Khalifa
32,Tonight Tonight,Hot Chelle Rae
33,Blow,Ke$ha
34,Lighters,Bad Meets Evil Featuring Bruno Mars
35,If I Die Young,The Band Perry
36,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
37,The Time (Dirty Bit),The Black Eyed Peas
38,Coming Home,Diddy - Dirty Money Featuring Skylar Grey
39,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain
40,Only Girl (In The World),Rihanna
41,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz
42,Just A Kiss,Lady Antebellum
43,Dirt Road Anthem,Jason Aldean
44,Dynamite,Taio Cruz
45,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale
46,I Wanna Go,Britney Spears
47,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne"
48,You Make Me Feel...,Cobra Starship Featuring Sabi
49,Yeah 3X,Chris Brown
50,Moment 4 Life,Nicki Minaj Featuring Drake
51,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey
52,Just A Dream,Nelly
53,Motivation,Kelly Rowland Featuring Lil Wayne
54,Stereo Love,Edward Maya & Vika Jigulina
55,Jar Of Hearts,Christina Perri
56,Roll Up,Wiz Khalifa
57,Sexy And I Know It,LMFAO
58,Rocketeer,Far*East Movement Featuring Ryan Tedder
59,All Of The Lights,Kanye West
60,Hold It Against Me,Britney Spears
61,More,Usher
62,What The Hell,Avril Lavigne
63,Written In The Stars,Tinie Tempah Featuring Eric Turner
64,Bottoms Up,Trey Songz Featuring Nicki Minaj
65,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
66,For The First Time,The Script
67,Honey Bee,Blake Shelton
68,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson
69,We Found Love,Rihanna Featuring Calvin Harris
70,Pretty Girl Rock,Keri Hilson
71,You And I,Lady Gaga
72,Like A G6,Far*East Movement Featuring Cataracs & Dev
73,Without You,David Guetta Featuring Usher
74,Back To December,Taylor Swift
75,Teenage Dream,Katy Perry
76,Crazy Girl,Eli Young Band
77,Cheers (Drink To That),Rihanna
78,Who Says,Selena Gomez & The Scene
79,Barefoot Blue Jean Night,Jake Owen
80,Knee Deep,Zac Brown Band Featuring Jimmy Buffett
81,Country Girl (Shake It For Me),Luke Bryan
82,Remind Me,Brad Paisley Duet With Carrie Underwood
83,In The Dark,Dev
84,Backseat,New Boyz Featuring The Cataracs & Dev
85,Headlines,Drake
86,Best Thing I Never Had,Beyonce
87,Don't Wanna Go Home,Jason Derulo
88,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj
89,She Ain't You,Chris Brown
90,Take A Back Road,Rodney Atkins
